repo,size,gzip_time,gzip_size,zip_time,zip_size
alstore,48M,1.301,45M,1.196,45M
andrewng,372M,10.011,359M,9.827,359M
bandersnatch,1.5M,0.047,796K,0.031,832K
chiaki,5.6M,0.159,3.7M,0.134,3.8M
codesearch,136M,8.138,58M,8.775,58M
contrib,67M,2.48,53M,2.468,54M
cups,37M,1.255,16M,1.112,17M
gospring,652K,0.015,252K,0.01,284K
imgui,6.4M,0.424,2.4M,0.431,2.5M
impersonator,51M,1.491,49M,1.463,49M
ipwndfu,3.8M,0.106,2.7M,0.081,2.7M
linux,3.8G,132.048,2.7G,129.387,2.8G
midustry,120M,3.878,104M,3.693,105M
pipx,3.2M,0.086,2.8M,0.074,2.8M
pyenv,8.9M,0.248,4.2M,0.204,4.5M
python,23M,0.859,17M,0.825,17M
ruddre,38M,2.106,20M,2.041,21M
system-config-printer,53M,1.734,45M,1.648,46M
thefuck,6.0M,0.166,4.2M,0.136,4.3M
transformers,8.8M,0.326,5.8M,0.276,6.0M
